registro,v1,v2_v6,v7,v8,v1_norm,v2_v6_norm,v7_norm,v8_norm,IRD
143724,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143727,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143728,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143731,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143736,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143743,2,3.0,0.0,0.0,0.10526315789473684,0.00351288056206089,0.0,0.0,0.12458400098607174
143745,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143746,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143749,4,95.0,1.0,0.0,0.21052631578947367,0.11124121779859485,0.07692307692307693,0.0,0.9761991675278993
143755,6,8.0,0.0,0.0,0.3157894736842105,0.00936768149882904,0.0,0.0,0.36731172192777023
143757,5,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.2631578947368421
143758,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143759,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143764,6,12.0,0.0,0.0,0.3157894736842105,0.01405152224824356,0.0,0.0,0.3930728460495502
143768,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143769,4,38.0,0.0,0.0,0.21052631578947367,0.04449648711943794,0.0,0.0,0.4552569949463824
143772,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143774,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143778,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143779,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143786,4,20.0,0.0,0.0,0.21052631578947367,0.0234192037470726,0.0,0.0,0.339331936398373
143788,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143792,4,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.21052631578947367
143793,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143794,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143797,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143800,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143806,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143807,2,1.0,0.0,0.0,0.10526315789473684,0.00117096018735363,0.0,0.0,0.11170343892518181
143811,5,15.0,0.0,0.0,0.2631578947368421,0.01756440281030445,0.0,0.0,0.35976211019351656
143812,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143813,3,4.0,0.0,0.0,0.15789473684210525,0.00468384074941452,0.0,0.0,0.18365586096388511
143815,3,1.0,0.0,0.0,0.15789473684210525,0.00117096018735363,0.0,0.0,0.16433501787255025
143816,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143817,6,5.0,0.0,0.0,0.3157894736842105,0.00585480093676815,0.0,0.0,0.3479908788364354
143818,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143822,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143830,5,1.0,0.0,0.0,0.2631578947368421,0.00117096018735363,0.0,0.0,0.26959817576728706
143833,3,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.15789473684210525
143834,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143835,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143837,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143838,2,2.0,0.0,0.0,0.10526315789473684,0.00234192037470726,0.0,0.0,0.11814371995562677
143843,4,2.0,0.0,0.0,0.21052631578947367,0.00234192037470726,0.0,0.0,0.22340687785036362
143846,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143848,7,79.0,2.0,0.0,0.3684210526315789,0.09250585480093677,0.15384615384615385,0.0,1.1848955617290389
143856,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
